Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-076T20:20:36.5761Z [Mar 17] ( 26.451,  89.907)      22974             2       2       4    75965
2011-076T20:20:36.9862Z [Mar 17] ( 26.401,  90.136)     118150           247       7      19    75965
2011-076T20:20:38.1414Z [Mar 17] ( 26.534,  89.532)     110254           262       8      19    75965
2011-076T20:20:38.7590Z [Mar 17] ( 26.087,  90.688)     615656           381      14      73    75965
2011-076T20:20:47.1885Z [Mar 17] ( 26.647,  88.871)     346225           298      11      46    75965
2011-076T20:20:47.3192Z [Mar 17] ( 26.410,  90.182)     207367           236       5      18    75965
2011-076T20:20:48.2609Z [Mar 17] ( 26.466,  89.910)      15650           127       3       4    75965
2011-076T20:20:49.7272Z [Mar 17] ( 26.660,  91.622)    5131258           467      41     267    75965
2011-076T20:20:49.8704Z [Mar 17] ( 26.587,  91.603)     172753           311       4      22    75965
2011-076T20:20:51.1202Z [Mar 17] ( 26.510,  90.145)     214405           227      13      39    75965
2011-076T20:20:51.2081Z [Mar 17] ( 26.666,  88.464)      46450            60       2       6    75965
2011-076T20:20:51.2438Z [Mar 17] ( 26.604,  90.466)    1414573           458      19     155    75965
2011-076T20:20:51.7629Z [Mar 17] ( 26.476,  89.490)     288532           328       9      41    75965
2011-076T20:20:52.3342Z [Mar 17] ( 26.452,  89.704)    1071117           215      21     104    75965
2011-076T20:20:54.0422Z [Mar 17] ( 26.233,  90.792)     181490           535       6      43    75965
2011-076T20:20:54.2322Z [Mar 17] ( 26.485,  89.900)     775795           331      13      88    75965
2011-076T20:20:54.2322Z [Mar 17] ( 26.264,  90.860)     111998            53       5      24    75965
2011-076T20:20:57.5678Z [Mar 17] ( 25.122,  91.385)     170305           333      17      31    75965
2011-076T20:20:57.8130Z [Mar 17] ( 25.252,  91.418)      40538             0       1       6    75965
2011-076T20:20:58.3467Z [Mar 17] ( 26.427,  89.821)     175536            82      15      27    75965
2011-076T20:20:58.5366Z [Mar 17] ( 26.367,  90.485)     468572           302      10      56    75965
2011-076T20:21:01.8542Z [Mar 17] ( 26.382,  90.411)     462626           104      14      49    75965
2011-076T20:21:01.8778Z [Mar 17] ( 26.578,  90.430)     396620           204       5      48    75965
2011-076T20:21:01.9044Z [Mar 17] ( 26.445,  89.633)     391440           215       8      54    75965
2011-076T20:21:03.7486Z [Mar 17] ( 25.063,  91.380)     655664           417      16      68    75965
2011-076T20:21:05.1220Z [Mar 17] ( 26.648,  88.484)    1604507           282      21      68    75965
2011-076T20:21:10.1425Z [Mar 17] ( 26.397,  90.224)     240800           375      19      41    75965
2011-076T20:21:11.9757Z [Mar 17] ( 26.409,  90.382)     468991           177       8      44    75965
2011-076T20:21:12.5470Z [Mar 17] ( 26.425,  89.949)      83820           338       7      16    75965
2011-076T20:21:18.9534Z [Mar 17] ( 26.338,  90.480)      76433            83       4      10    75965
2011-076T20:21:21.2022Z [Mar 17] ( 26.638,  91.623)       4340             0       1       1    75965
2011-076T20:21:21.3831Z [Mar 17] ( 26.550,  89.557)    2364616           377      36     138    75965
2011-076T20:21:23.2775Z [Mar 17] ( 26.659,  88.507)     280943           180       6      23    75965
